No,E.Coli,Coliform,Arsen (As),Total Kromium (Cr-T),Kadmium (Cd),Nitrit (NO2-N),Nitrat (NO3-N),Selenium (Se),Alumunium (Al),pH,Sulfat (SO4),Tembaga (Cu),Padatan Terlarut Total (TDS),Kekeruhan,Kelayakan
1,0,0,"0,04","0,75","0,002","1,65","6,22","0,04","2,67","7,183095932","362,8526538","1,93","607,1025732","4,534681098",2
2,"0,1","0,1","0,001","0,67","0,009","1,98","16,74","0,08","0,24","4,85558776","336,0404518","1,99","574,4028275","4,396604556",2
3,0,0,"0,05","0,06","0,04","0,9","5,21","0,04","0,02","8,640886409","331,821977","0,04","437,3669088","4,494544339",2
4,"0,72","0,72","0,1","0,03","0,03","1,6","0,24","0,01","0,02","6,043360084","322,6744621","0,55","405,2769119","3,86034761",2
5,"0,98","0,98","0,41","0,53","0,11","1,79","11,14","0,05","0,17","6,394980461","370,416831","1,34","515,0599861","3,36517444",2
6,0,0,"0,0072070147","0,03686469944","0,001073856268","0,11","7,84","0,003875707141","0,1147211909","6,766669831","2,372496289","0,8","276,2256576","2,790799245",1
7,"0,63","0,63","0,02","0,1","0,06","1,15","6,66","0,05","0,09","8,037430327","341,3464431","1,13","437,8795085","4,401424715",2
8,"0,14","0,14","0,04","0,31","0,007","1,09","16,05","0,02","3,18","6,143921454","384,0070058","1,91","336,9141571","2,807129775",2
9,0,0,"0,09","0,02","0,1","0,63","2,43","0,07","0,06","5,115817064","337,2708968","0,09","491,7653132","4,213700444",2
10,0,0,"0,05","0,06","0,06","0,32","10,7","0,04","0,06","6,26111058","279,7768565",0,"260,5317582","4,899611272",2
11,"0,93","0,93","0,05","0,07","0,03","0,61","3,02","0,04","0,04","6,920342899","285,3320258","1,69","289,5375295","3,772078073",2
12,"0,52","0,52","0,04","0,76","0,002","1,49","18,4","0,08","0,1","4,740056688","291,6876535","0,17","479,9570763","2,799883321",2
13,"0,25","0,25","0,84","0,86","0,12","1,89","13,17","0,08","0,04","7,775049501","306,182925","1,79","377,5842031","4,066229364",2
14,"0,04","0,04","0,06","0,06","0,01","1,88","2,44","0,09","0,04","5,349997297","336,0404518","1,15","523,6712975","4,754826393",2
15,0,0,"0,00504304913","0,01029125521","0,00166804907","2,06","7,86","0,007318102776","0,060525157","7,647922095","30,64460398","0,01","245,5662496","4,269969902",1
16,0,0,"0,06","0,04","0,07","1,31","17,29","0,04","0,06","6,45278075","328,9325854","1,8","386,2983586","3,729873301",2
17,0,0,"0,002723088189","0,0418573956","0,001622009369","0,22","2,01","0,008497235424","0,1780877346","8,101826245","38,44479996","0,02","128,288109","1,124560394",1
18,0,0,"0,009389831307","0,04996258703","0,0009910544728","2,03","12,1","0,007046444667","0,09026743464","7,631965299","28,53911113","1,11","268,2058052","2,854350345",1
19,"0,37","0,37","0,03","0,13","0,008","1,11","8,84","0,09","1,44","5,374222585","288,1578825","1,22","414,3507509","4,364066935",2
20,"0,52","0,52","0,04","0,76","0,002","1,49","18,4","0,08","1,35","7,496232208","341,1636312","0,17","573,7237623","5,222077291",2
21,0,0,"0,00735663866","0,01135437322","0,0004597251212","0,15","11,75","0,001648225322","0,1755195088","7,240128887","15,35863364","0,06","259,6390549","0,8245769407",1
22,0,0,"0,1","0,07","0,01","0,43","16,82","0,07","0,08","8,545890346","314,0907378","0,01","516,2178472","5,030712169",2
23,0,0,"0,01","0,55","0,001","1,38","1,6","0,02","4,36","5,090035332","258,9306004","1,62","347,4644191","3,730185467",2
24,0,0,"0,04","0,05","0,07","0,8","13,26","0,08","0,03","4,835297728","282,859453","0,29","321,8674741","2,653126688",2
25,"0,76","0,76","0,09","0,1","0,01","0,92","10,45","0,1",0,"9,02678772","429,0223118","0,97","401,0588017","4,052905069",2
26,"0,86","0,86","0,04","0,52","0,003","1,96","7,97","0,03",0,"4,497585145","348,2098631","0,61","474,2404823","3,511984837",2
27,"0,78","0,78","0,1","0,08","0,08","1,83","13,34","0,03","0,07","6,204429354","299,8204779","1,7","555,5962107","3,09381445",2
28,"0,61","0,61","0,61","0,13","0,06","2,21","7,54","0,09","0,08","5,923739955","368,1057831","1,64","401,2562923","3,165390901",2
29,0,0,"0,004733981163","0,01605758711","0,001889352983","1,59","8,83","0,003475228013","0,143002023","7,693093687","16,00473923","1,45","178,0465732","3,662093284",1
30,"0,48","0,48","0,07","0,51","0,12","1,58","4,85","0,06","0,09","4,941972157","377,8751931","1,38","365,2729653","3,522486463",2
31,"0,97","0,97","0,05","0,03","0,02","0,71","2,84","0,03","0,01","5,038316783","341,5268734","1,77","482,4450256","4,903914479",2
32,0,0,"0,007023335403","0,02927638503","0,002988988571","0,25","8,26","0,004104860842","0,05918558664","8,094728076","10,50203179","0,05","201,4067192","3,979400183",1
33,0,0,"0,006037837815","0,02862439521","0,0009943631225","0,57","16,91","0,004491167637","0,1954748802","7,113515385","1,252977459","0,06","249,5614689","3,462811585",1
34,0,0,"0,33","0,38","0,06","1,36","10,61","0,04","3,8","8,131375234","327,0023706","0,22","337,219448","3,923590202",2
35,0,0,"0,08","0,05","0,02","0,22","18,41","0,03","0,04","9,759937781","334,0499626","0,09","641,5258452","3,70085384",2
36,0,0,"0,04","0,07",0,"0,35","17,16","0,05","0,06","8,246369054","280,9320636","0,03","291,3042116","2,959684621",2
37,0,0,"0,009064673115","0,04231653566","0,00129090715","0,89","14,44","0,007206817657","0,1754567827","6,992766269","8,305446499","0,36","240,2117233","2,840711833",1
38,0,0,"0,06","0,05","0,07","0,26","11,34","0,01","0,01","7,635264692","326,2542815","0,04","488,7745948","3,628459629",2
39,"0,84","0,84","0,06","0,08","0,08","1,36","11,04","0,09","0,02","10,35174253","323,8243755","1,83","460,8942124","3,368532611",2
40,"0,19","0,19","0,08","0,01","0,04","1,7","2,06","0,03","0,04","4,430281212","297,239219","1,56","359,7781341","3,480271755",2
41,0,0,"0,06",0,"0,08","0,48","1,45","0,09","0,1","6,961891686","299,9588455","0,01","344,0720282","3,361088407",2
42,0,0,"0,68","0,13","0,11","1,23","7,52",0,"2,66","6,047651489","351,3860801","1,43","461,8362776","4,116347641",2
43,0,0,"0,002586432924","0,01912226151","0,001021338055","0,31","4,07","0,002001384729","0,05170698285","6,716150123","17,70625989","0,08","246,2198344","3,337739362",1
44,0,0,"0,05","0,03","0,04","0,42","4,35","0,02","0,1","11,02787986","334,0542887","0,05","428,8823659","4,304051632",2
45,"0,19","0,19","0,03","0,09","0,05","1,62",6,"0,02","0,01","7,108140711","314,2083463","1,03","495,3798827","4,768660397",2
46,0,0,"0,05","0,08","0,06","1,28","14,24","0,04","0,03","6,453064803","352,7021822","0,27","308,0860503","3,216414002",2
47,"0,92","0,92","0,73","0,46","0,02","1,36","15,97","0,01","0,02","5,452214926","337,038752","0,05","358,8490033","5,553173841",2
48,0,0,"0,74","0,39","0,04","1,19","4,86","0,07","0,2","7,095569331","304,6220612","1,26","380,4284147","4,703803489",2
49,"0,44","0,44","0,04","0,08","0,08","1,52","1,69","0,09","0,06","5,470981822","319,3067851","0,06","409,5018417","4,431829144",2
50,"0,24","0,24","0,02","0,02","0,06","1,69","18,77","0,1","0,06","5,324941856","287,087053","1,61","438,515587","4,085054788",2
51,0,0,"0,008045500478","0,04895528414","0,001444554997","0,75","5,55","0,003063299525","0,08592766204","7,121231207","31,28830862","0,05","138,9593793","0,1158762094",1
52,0,0,"0,007791164452","0,04197494038","0,002115143394","2,04","11,66","0,00323099871","0,1158344207","8,271304071","2,451571115","1,9","162,4126227","0,5889666722",1
53,0,0,"0,002946715707","0,01789760649","0,001569779412","0,44","7,96","0,0085179194","0,09588135739","8,216614726","13,81081393","0,1","54,12944786","2,185503669",1
54,0,0,"0,007769468592","0,01313699813","0,0007823365109","1,27","12,6","0,009908319019","0,07651442595","7,586912248","23,72407733","0,19","102,0565808","2,299592592",1
55,0,0,"0,05","0,05","0,03","1,2","18,06","0,06","0,04","6,450805743","324,8930378","0,99","336,2797071","3,068919237",2
56,"0,2","0,2","0,01","0,24","0,001","1,01","1,43",0,"0,06","8,352635176","379,5047315","0,38","493,2264634","4,383921814",2
57,"0,67","0,67","0,02","0,86","0,001","1,15","11,69","0,07","2,23","4,077607725","313,6480717","0,66","568,3046706","5,051493874",2
58,0,0,"0,009284031157","0,02101086159","0,00137278771","1,37","1,87","0,004175910865","0,08645779411","7,839829502","27,17043151","1,78","203,9214739","0,09614024122",1
59,"0,69","0,69","0,03","0,64","0,001","1,56","1,16","0,07","0,02","6,392760459","367,3265856","0,36","383,1995849","2,915165951",2
60,"0,02","0,02","0,09","0,08","0,06","1,77","13,76","0,07","0,07","9,925041328","283,2055171","1,14","332,5981262","4,933467949",2
61,"0,55","0,55","0,01","0,05","0,1","1,06","3,18","0,08","0,03","7,00523014","364,0814124","1,08","525,5987875","3,506502994",2
62,0,0,"0,002925659512","0,01368591898","0,001219157613","1,65","3,88","0,007176112237","0,1606317317","7,242808707","8,208560957","0,01","142,227455","2,945516511",1
63,"0,65","0,65","0,04","0,55","0,001","1,06","2,98","0,08","0,07","8,847880711","328,5039211","0,4","409,4793779","3,932141959",2
64,0,0,"0,01","0,56","0,001","1,47","10,99","0,06","0,49","6,364155674","481,0306423","1,42","306,0239747","3,758179651",2
65,"0,23","0,23","0,01","0,01","0,02","0,13","5,85","0,09","0,05","5,678220967","393,1687446","0,36","580,0952246","4,105178268",2
66,"0,74","0,74","0,02","0,1","0,008","1,9","16,78","0,06","0,29","8,250830009","353,3399191","1,47","468,2125374","5,076146746",2
67,"0,7","0,7","0,05","0,08","0,01","1,73","11,17","0,04","0,03","8,775485734","307,6524515","0,08","251,0208987","4,356593856",2
68,"0,8","0,8","1,05","0,04","0,02","1,57","11,56","0,03","1,04","5,508155526","303,2575921","0,84","510,4144025","3,730792788",2
69,0,0,"0,03","0,08","0,05","0,27","15,15","0,05","0,03","4,233558617","299,9380711","0,68","321,3645185","3,26640974",2
70,0,0,"0,72","0,32","0,11","1,32","14,67","0,06","0,32","7,736312841","384,8553815","1,63","459,2983785","4,107267203",2
71,"0,05","0,05","0,006393374666","0,01393044657","0,001046557953","1,37","12,29","0,008079883622","0,1591561522","7,510265049","12,81364064","0,42","152,0115713","3,648295703",1
72,"0,13","0,13","0,09","0,08","0,09","1,19","8,64","0,06","0,1","6,958534137","367,1541839","1,53","523,602714","4,046305672",2
73,"0,44","0,44","0,03","0,26","0,008","1,2","3,82","0,09","0,08","6,158424006","353,6072754","0,5","377,000392","3,720264379",2
74,"0,62","0,62","0,01","0,62","0,005","1,09","6,94","0,02","1,03","6,144759038","423,876297","0,79","587,3786921","3,794531591",2
75,"0,58","0,58","0,7","0,73","0,08","2,1","8,68","0,06","0,04","6,698153869","369,190878","0,04","531,7689878","3,138971387",2
76,"0,07","0,07","0,06","0,06","0,05","1,62","18,42","0,01","0,02","8,127710424","343,3180208","0,17","509,9568642","3,295033859",2
77,0,0,"0,00402178881","0,01760614595","0,001490161433","1,4","16,5","0,00299748369","0,07991382435","7,986532207","16,4359636","1,65","58,24520279","0,05355041742",1
78,0,0,"0,006548931582","0,0494083757","0,001596745353","0,15","17,42","0,00528746303","0,1628588404","6,689156382","37,2409627",0,"246,9989589","1,63921299",1
79,0,0,"0,01","0,02","0,07","0,5","15,45","0,08","0,02","6,340809022","310,068681","0,03","457,5515592","3,394450273",2
